"FPR","k","maxN"
0.05,"fixed N NHST",130
0.05,"fixed N NHST",131
0.05,"fixed N NHST",132
0.05,"fixed N NHST",133
0.05,"fixed N NHST",134
0.05,"fixed N NHST",135
0.05,"fixed N NHST",136
0.05,"fixed N NHST",137
0.05,"fixed N NHST",138
0.05,"fixed N NHST",139
0.05,"fixed N NHST",140
0.05,"fixed N NHST",141
0.05,"fixed N NHST",142
0.05,"fixed N NHST",143
0.05,"fixed N NHST",144
0.05,"fixed N NHST",145
0.05,"fixed N NHST",146
0.05,"fixed N NHST",147
0.05,"fixed N NHST",148
0.05,"fixed N NHST",149
0.05,"fixed N NHST",150
0.05,"fixed N NHST",151
0.05,"fixed N NHST",152
0.05,"fixed N NHST",153
0.05,"fixed N NHST",154
0.05,"fixed N NHST",155
0.05,"fixed N NHST",156
0.05,"fixed N NHST",157
0.05,"fixed N NHST",158
0.05,"fixed N NHST",159
0.05,"fixed N NHST",160
0.05,"fixed N NHST",161
0.05,"fixed N NHST",162
0.05,"fixed N NHST",163
0.05,"fixed N NHST",164
0.05,"fixed N NHST",165
0.05,"fixed N NHST",166
0.05,"fixed N NHST",167
0.05,"fixed N NHST",168
0.05,"fixed N NHST",169
0.05,"fixed N NHST",170
0.05,"fixed N NHST",171
0.05,"fixed N NHST",172
0.05,"fixed N NHST",173
0.05,"fixed N NHST",174
0.05,"fixed N NHST",175
0.05,"fixed N NHST",176
0.05,"fixed N NHST",177
0.05,"fixed N NHST",178
0.05,"fixed N NHST",179
0.05,"fixed N NHST",180
0.05,"fixed N NHST",181
0.05,"fixed N NHST",182
0.05,"fixed N NHST",183
0.05,"fixed N NHST",184
0.05,"fixed N NHST",185
0.05,"fixed N NHST",186
0.05,"fixed N NHST",187
0.05,"fixed N NHST",188
0.05,"fixed N NHST",189
0.05,"fixed N NHST",190
0.05,"fixed N NHST",191
0.05,"fixed N NHST",192
0.05,"fixed N NHST",193
0.05,"fixed N NHST",194
0.05,"fixed N NHST",195
0.05,"fixed N NHST",196
0.05,"fixed N NHST",197
0.05,"fixed N NHST",198
0.05,"fixed N NHST",199
0.05,"fixed N NHST",200
