"FPR","k","maxN"
0.0118,"6",3
0.01826,"6",4
0.02326,"6",5
0.02798,"6",6
0.03124,"6",7
0.03458,"6",8
0.0372,"6",9
0.03968,"6",10
0.04206,"6",11
0.0438,"6",12
0.04538,"6",13
0.04712,"6",14
0.0489,"6",15
0.05016,"6",16
0.05146,"6",17
0.05264,"6",18
0.05398,"6",19
0.05544,"6",20
0.05686,"6",21
0.0581,"6",22
0.0589,"6",23
0.05968,"6",24
0.0604,"6",25
0.0614,"6",26
0.06228,"6",27
0.06294,"6",28
0.06344,"6",29
0.06418,"6",30
0.06488,"6",31
0.0654,"6",32
0.06598,"6",33
0.06644,"6",34
0.0669,"6",35
0.06726,"6",36
0.06762,"6",37
0.06816,"6",38
0.0686,"6",39
0.06898,"6",40
0.06952,"6",41
0.06994,"6",42
0.07028,"6",43
0.07046,"6",44
0.0708,"6",45
0.07124,"6",46
0.07152,"6",47
0.07194,"6",48
0.07236,"6",49
0.07274,"6",50
0.07318,"6",51
0.0736,"6",52
0.07406,"6",53
0.07436,"6",54
0.07464,"6",55
0.07496,"6",56
0.07524,"6",57
0.07544,"6",58
0.07568,"6",59
0.07596,"6",60
0.07618,"6",61
0.0764,"6",62
0.07654,"6",63
0.07674,"6",64
0.07696,"6",65
0.07724,"6",66
0.07744,"6",67
0.07756,"6",68
0.0778,"6",69
0.07812,"6",70
0.07832,"6",71
0.07852,"6",72
0.0787,"6",73
0.07892,"6",74
0.0792,"6",75
0.07942,"6",76
0.0796,"6",77
0.07974,"6",78
0.0801,"6",79
0.08034,"6",80
0.08046,"6",81
0.08066,"6",82
0.08074,"6",83
0.08086,"6",84
0.08104,"6",85
0.08122,"6",86
0.08132,"6",87
0.0815,"6",88
0.08166,"6",89
0.08186,"6",90
0.08198,"6",91
0.08212,"6",92
0.0822,"6",93
0.08246,"6",94
0.08254,"6",95
0.08264,"6",96
0.08274,"6",97
0.0829,"6",98
0.083,"6",99
0.0832,"6",100
0.08338,"6",101
0.08346,"6",102
0.08362,"6",103
0.08372,"6",104
0.0839,"6",105
0.08408,"6",106
0.08422,"6",107
0.08432,"6",108
0.0844,"6",109
0.08444,"6",110
0.0845,"6",111
0.08462,"6",112
0.0848,"6",113
0.08494,"6",114
0.08504,"6",115
0.08514,"6",116
0.08532,"6",117
0.08548,"6",118
0.0856,"6",119
0.08568,"6",120
0.08578,"6",121
0.08598,"6",122
0.08608,"6",123
0.08622,"6",124
0.08628,"6",125
0.0864,"6",126
0.08646,"6",127
0.08658,"6",128
0.08668,"6",129
0.0868,"6",130
0.08682,"6",131
0.0869,"6",132
0.087,"6",133
0.08706,"6",134
0.08726,"6",135
0.08734,"6",136
0.08738,"6",137
0.08746,"6",138
0.08764,"6",139
0.08776,"6",140
0.08788,"6",141
0.0879,"6",142
0.08796,"6",143
0.088,"6",144
0.08812,"6",145
0.0882,"6",146
0.08828,"6",147
0.08838,"6",148
0.08842,"6",149
0.08846,"6",150
0.0885,"6",151
0.08854,"6",152
0.0886,"6",153
0.08872,"6",154
0.08878,"6",155
0.08886,"6",156
0.08888,"6",157
0.08894,"6",158
0.08904,"6",159
0.08914,"6",160
0.0893,"6",161
0.08936,"6",162
0.08942,"6",163
0.0895,"6",164
0.08954,"6",165
0.08956,"6",166
0.0896,"6",167
0.08964,"6",168
0.08966,"6",169
0.08974,"6",170
0.08978,"6",171
0.08988,"6",172
0.09,"6",173
0.09014,"6",174
0.09026,"6",175
0.09036,"6",176
0.0904,"6",177
0.09044,"6",178
0.09052,"6",179
0.09056,"6",180
0.09066,"6",181
0.09078,"6",182
0.09084,"6",183
0.09088,"6",184
0.09088,"6",185
0.09096,"6",186
0.091,"6",187
0.09102,"6",188
0.09116,"6",189
0.09126,"6",190
0.09132,"6",191
0.09142,"6",192
0.09146,"6",193
0.09152,"6",194
0.09154,"6",195
0.09158,"6",196
0.0917,"6",197
0.09176,"6",198
0.09182,"6",199
0.09186,"6",200
0.05,"fixed N NHST",3
0.05,"fixed N NHST",4
0.05,"fixed N NHST",5
0.05,"fixed N NHST",6
0.05,"fixed N NHST",7
0.05,"fixed N NHST",8
0.05,"fixed N NHST",9
0.05,"fixed N NHST",10
0.05,"fixed N NHST",11
0.05,"fixed N NHST",12
0.05,"fixed N NHST",13
0.05,"fixed N NHST",14
0.05,"fixed N NHST",15
0.05,"fixed N NHST",16
0.05,"fixed N NHST",17
0.05,"fixed N NHST",18
0.05,"fixed N NHST",19
0.05,"fixed N NHST",20
0.05,"fixed N NHST",21
0.05,"fixed N NHST",22
0.05,"fixed N NHST",23
0.05,"fixed N NHST",24
0.05,"fixed N NHST",25
0.05,"fixed N NHST",26
0.05,"fixed N NHST",27
0.05,"fixed N NHST",28
0.05,"fixed N NHST",29
0.05,"fixed N NHST",30
0.05,"fixed N NHST",31
0.05,"fixed N NHST",32
0.05,"fixed N NHST",33
0.05,"fixed N NHST",34
0.05,"fixed N NHST",35
0.05,"fixed N NHST",36
0.05,"fixed N NHST",37
0.05,"fixed N NHST",38
0.05,"fixed N NHST",39
0.05,"fixed N NHST",40
0.05,"fixed N NHST",41
0.05,"fixed N NHST",42
0.05,"fixed N NHST",43
0.05,"fixed N NHST",44
0.05,"fixed N NHST",45
0.05,"fixed N NHST",46
0.05,"fixed N NHST",47
0.05,"fixed N NHST",48
0.05,"fixed N NHST",49
0.05,"fixed N NHST",50
0.05,"fixed N NHST",51
0.05,"fixed N NHST",52
0.05,"fixed N NHST",53
0.05,"fixed N NHST",54
0.05,"fixed N NHST",55
0.05,"fixed N NHST",56
0.05,"fixed N NHST",57
0.05,"fixed N NHST",58
0.05,"fixed N NHST",59
0.05,"fixed N NHST",60
0.05,"fixed N NHST",61
0.05,"fixed N NHST",62
0.05,"fixed N NHST",63
0.05,"fixed N NHST",64
0.05,"fixed N NHST",65
0.05,"fixed N NHST",66
0.05,"fixed N NHST",67
0.05,"fixed N NHST",68
0.05,"fixed N NHST",69
0.05,"fixed N NHST",70
0.05,"fixed N NHST",71
0.05,"fixed N NHST",72
0.05,"fixed N NHST",73
0.05,"fixed N NHST",74
0.05,"fixed N NHST",75
0.05,"fixed N NHST",76
0.05,"fixed N NHST",77
0.05,"fixed N NHST",78
0.05,"fixed N NHST",79
0.05,"fixed N NHST",80
0.05,"fixed N NHST",81
0.05,"fixed N NHST",82
0.05,"fixed N NHST",83
0.05,"fixed N NHST",84
0.05,"fixed N NHST",85
0.05,"fixed N NHST",86
0.05,"fixed N NHST",87
0.05,"fixed N NHST",88
0.05,"fixed N NHST",89
0.05,"fixed N NHST",90
0.05,"fixed N NHST",91
0.05,"fixed N NHST",92
0.05,"fixed N NHST",93
0.05,"fixed N NHST",94
0.05,"fixed N NHST",95
0.05,"fixed N NHST",96
0.05,"fixed N NHST",97
0.05,"fixed N NHST",98
0.05,"fixed N NHST",99
0.05,"fixed N NHST",100
0.05,"fixed N NHST",101
0.05,"fixed N NHST",102
0.05,"fixed N NHST",103
0.05,"fixed N NHST",104
0.05,"fixed N NHST",105
0.05,"fixed N NHST",106
0.05,"fixed N NHST",107
0.05,"fixed N NHST",108
0.05,"fixed N NHST",109
0.05,"fixed N NHST",110
0.05,"fixed N NHST",111
0.05,"fixed N NHST",112
0.05,"fixed N NHST",113
0.05,"fixed N NHST",114
0.05,"fixed N NHST",115
0.05,"fixed N NHST",116
0.05,"fixed N NHST",117
0.05,"fixed N NHST",118
0.05,"fixed N NHST",119
0.05,"fixed N NHST",120
0.05,"fixed N NHST",121
0.05,"fixed N NHST",122
0.05,"fixed N NHST",123
0.05,"fixed N NHST",124
0.05,"fixed N NHST",125
0.05,"fixed N NHST",126
0.05,"fixed N NHST",127
0.05,"fixed N NHST",128
0.05,"fixed N NHST",129
0.05,"fixed N NHST",130
0.05,"fixed N NHST",131
0.05,"fixed N NHST",132
0.05,"fixed N NHST",133
0.05,"fixed N NHST",134
0.05,"fixed N NHST",135
0.05,"fixed N NHST",136
0.05,"fixed N NHST",137
0.05,"fixed N NHST",138
0.05,"fixed N NHST",139
0.05,"fixed N NHST",140
0.05,"fixed N NHST",141
0.05,"fixed N NHST",142
0.05,"fixed N NHST",143
0.05,"fixed N NHST",144
0.05,"fixed N NHST",145
0.05,"fixed N NHST",146
0.05,"fixed N NHST",147
0.05,"fixed N NHST",148
0.05,"fixed N NHST",149
0.05,"fixed N NHST",150
0.05,"fixed N NHST",151
0.05,"fixed N NHST",152
0.05,"fixed N NHST",153
0.05,"fixed N NHST",154
0.05,"fixed N NHST",155
0.05,"fixed N NHST",156
0.05,"fixed N NHST",157
0.05,"fixed N NHST",158
0.05,"fixed N NHST",159
0.05,"fixed N NHST",160
0.05,"fixed N NHST",161
0.05,"fixed N NHST",162
0.05,"fixed N NHST",163
0.05,"fixed N NHST",164
0.05,"fixed N NHST",165
0.05,"fixed N NHST",166
0.05,"fixed N NHST",167
0.05,"fixed N NHST",168
0.05,"fixed N NHST",169
0.05,"fixed N NHST",170
0.05,"fixed N NHST",171
0.05,"fixed N NHST",172
0.05,"fixed N NHST",173
0.05,"fixed N NHST",174
0.05,"fixed N NHST",175
0.05,"fixed N NHST",176
0.05,"fixed N NHST",177
0.05,"fixed N NHST",178
0.05,"fixed N NHST",179
0.05,"fixed N NHST",180
0.05,"fixed N NHST",181
0.05,"fixed N NHST",182
0.05,"fixed N NHST",183
0.05,"fixed N NHST",184
0.05,"fixed N NHST",185
0.05,"fixed N NHST",186
0.05,"fixed N NHST",187
0.05,"fixed N NHST",188
0.05,"fixed N NHST",189
0.05,"fixed N NHST",190
0.05,"fixed N NHST",191
0.05,"fixed N NHST",192
0.05,"fixed N NHST",193
0.05,"fixed N NHST",194
0.05,"fixed N NHST",195
0.05,"fixed N NHST",196
0.05,"fixed N NHST",197
0.05,"fixed N NHST",198
0.05,"fixed N NHST",199
0.05,"fixed N NHST",200
