"Decision","N","SD_ymax","SD_ymin","outcome","D"
40.9066666666667,16.6381333333333,20.2465384133334,13.0297282533333,"Stop for H0",0.15
32.7866666666667,16.926,20.4723637404698,13.3796362595302,"Stop for H0",0.2
26.6733333333333,17.0587333333333,20.576968060285,13.5404986063817,"Stop for H0",0.25
20.36,17.0740666666667,20.5606396557639,13.5874936775694,"Stop for H0",0.3
14.34,17.0362,20.5232379295664,13.5491620704336,"Stop for H0",0.35
10.4933333333333,16.833,20.3547899616013,13.3112100383987,"Stop for H0",0.4
7.50666666666667,16.4555333333333,20.0328613679536,12.8782052987131,"Stop for H0",0.45
5.2,16.1181333333333,19.6939358455623,12.5423308211044,"Stop for H0",0.5
3.24,15.6965333333333,19.2410989736614,12.1519676930053,"Stop for H0",0.55
2.24,15.2031333333333,18.6579076935409,11.7483589731258,"Stop for H0",0.6
1.19333333333333,14.7916666666667,18.1257839878542,11.4575493454791,"Stop for H0",0.65
0.86,14.3357333333333,17.4865763395248,11.1848903271419,"Stop for H0",0.7
0.46,13.8748666666667,16.789091748813,10.9606415845203,"Stop for H0",0.75
0.28,13.5154666666667,16.1691616231409,10.8617717101924,"Stop for H0",0.8
0.113333333333333,13.1793333333333,15.5265459034568,10.8321207632099,"Stop for H0",0.85
0.0866666666666667,12.9129333333333,14.9860081602924,10.8398585063742,"Stop for H0",0.9
0.0333333333333333,12.6929333333333,14.5037697894498,10.8820968772169,"Stop for H0",0.95
0.00666666666666667,12.5079333333333,14.0439762008129,10.9718904658537,"Stop for H0",1
0.0133333333333333,12.37,13.6446273880362,11.0953726119638,"Stop for H0",1.05
0.00666666666666667,12.2617333333333,13.3162331168998,11.2072335497668,"Stop for H0",1.1
0,12.1784,13.0171810661381,11.3396189338619,"Stop for H0",1.15
0.00666666666666667,12.1307333333333,12.8336380688606,11.427828597806,"Stop for H0",1.2
0,12.0836666666667,12.6380615732718,11.5292717600615,"Stop for H0",1.25
0,12.0540666666667,12.4912808086718,11.6168525246615,"Stop for H0",1.3
0,12.0353333333333,12.3707321830354,11.6999344836313,"Stop for H0",1.35
0,12.0206,12.2620805599989,11.7791194400011,"Stop for H0",1.4
0,12.0154666666667,12.2175314357391,11.8134018975943,"Stop for H0",1.45
0,12.0100666666667,12.1661658446031,11.8539674887302,"Stop for H0",1.5
70,15.3608666666667,18.9320511769017,11.7896821564316,"Stop for H1 OR H0",0
63.1733333333333,15.8825333333333,19.5205388200184,12.2445278466483,"Stop for H1 OR H0",0.05
58.5533333333333,16.2273333333333,19.8688536568942,12.5858130097725,"Stop for H1 OR H0",0.1
53.32,16.6381333333333,20.2465384133334,13.0297282533333,"Stop for H1 OR H0",0.15
49.54,16.926,20.4723637404698,13.3796362595302,"Stop for H1 OR H0",0.2
48.2466666666667,17.0587333333333,20.576968060285,13.5404986063817,"Stop for H1 OR H0",0.25
48.5733333333333,17.0740666666667,20.5606396557639,13.5874936775694,"Stop for H1 OR H0",0.3
49.5333333333333,17.0362,20.5232379295664,13.5491620704336,"Stop for H1 OR H0",0.35
52.68,16.833,20.3547899616013,13.3112100383987,"Stop for H1 OR H0",0.4
57.9266666666667,16.4555333333333,20.0328613679536,12.8782052987131,"Stop for H1 OR H0",0.45
62.9466666666667,16.1181333333333,19.6939358455623,12.5423308211044,"Stop for H1 OR H0",0.5
68.8066666666667,15.6965333333333,19.2410989736614,12.1519676930053,"Stop for H1 OR H0",0.55
75,15.2031333333333,18.6579076935409,11.7483589731258,"Stop for H1 OR H0",0.6
